claude-2.1,mixtral-8x7b-instruct,mistral-7b-instruct,gpt-3.5-turbo-0613-openai (functions),gpt-3.5-turbo-1106 (functions),gpt-4-0613 (functions),gpt-4-1106-preview (functions),llama-v2-13b-chat,llama-v2-70b-chat
1.00,0.00,1.00,1.00,0.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,1.00,1.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,1.00,1.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,0.00,1.00,1.0,0.00,0.0,0.0
1.00,1.00,0.00,1.00,1.00,0.0,1.00,0.0,0.0
1.00,1.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,1.00,0.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,0.00,0.00,1.0,1.00,0.0,0.0
1.00,0.00,0.00,0.00,0.00,1.0,1.00,0.0,0.0
1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,1.0
1.00,1.00,0.00,1.00,0.00,0.0,1.00,0.0,1.0
1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
1.00,1.00,0.00,1.00,0.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,0.00,0.00,0.0,0.00,0.0,0.0
1.00,1.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,0.00,0.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,0.00,1.00,0.0,1.00,0.0,0.0
1.00,0.00,0.00,1.00,0.00,0.0,1.00,0.0,0.0